BackupFile,SrcPath,BackupLines,SrcLines,LineDifferences,DiffFile
"accessibility-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\accessibility-manager.js",709,785,1334,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\accessibility-manager.js__vs__accessibility-manager.js.txt"
"advanced-module-initializer.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\advanced-module-initializer.js",292,334,359,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\advanced-module-initializer.js__vs__advanced-module-initializer.js.txt"
"advanced-sdk-integration.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\advanced-sdk-integration.js",575,581,51,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\advanced-sdk-integration.js__vs__advanced-sdk-integration.js.txt"
"ai-module.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai-module.js",1438,0,51,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ai-module.js__vs__ai-module.js.txt"
"ai-module.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai\ai-module.js",1438,932,2642,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ai-module.js__vs__ai-module.js.txt"
"ai-providers.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai\ai-providers.js",275,287,24,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ai-providers.js__vs__ai-providers.js.txt"
"api-settings-migration.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\api-settings-migration.js",1590,433,2243,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\api-settings-migration.js__vs__api-settings-migration.js.txt"
"api-settings-storage.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\api-settings-storage.js",25,25,7,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\api-settings-storage.js__vs__api-settings-storage.js.txt"
"app-initializer.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\init\app-initializer.js",174,15,229,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\app-initializer.js__vs__app-initializer.js.txt"
"cache-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\init\cache-manager.js",74,12,101,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\cache-manager.js__vs__cache-manager.js.txt"
"cep-storage-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\cep-storage-manager.js",191,48,273,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\cep-storage-manager.js__vs__cep-storage-manager.js.txt"
"chat-assistant.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai\chat-assistant.js",505,47,626,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\chat-assistant.js__vs__chat-assistant.js.txt"
"chat-memory.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai\chat-memory.js",323,344,55,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\chat-memory.js__vs__chat-memory.js.txt"
"chat-scroll-enhancement.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\chat-scroll-enhancement.js",105,117,36,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\chat-scroll-enhancement.js__vs__chat-scroll-enhancement.js.txt"
"chatStore-browser.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\storage\chatStore-browser.js",249,37,346,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\chatStore-browser.js__vs__chatStore-browser.js.txt"
"chatStore.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\storage\chatStore.js",371,400,843,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\chatStore.js__vs__chatStore.js.txt"
"component-loader.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\component-loader.js",130,139,23,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\component-loader.js__vs__component-loader.js.txt"
"debug-functions-stub.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\debug-functions-stub.js",33,18,58,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\debug-functions-stub.js__vs__debug-functions-stub.js.txt"
"dependency-checker.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\dependency-checker.js",296,34,381,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\dependency-checker.js__vs__dependency-checker.js.txt"
"di-container.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\di-container.js",269,274,445,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\di-container.js__vs__di-container.js.txt"
"draggable-dividers.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\draggable-dividers.js",149,58,254,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\draggable-dividers.js__vs__draggable-dividers.js.txt"
"effects-presets-module.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\effects-presets-module.js",245,250,40,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\effects-presets-module.js__vs__effects-presets-module.js.txt"
"enhanced-main.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\enhanced-main.js",34,34,53,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\enhanced-main.js__vs__enhanced-main.js.txt"
"enhanced-performance-system.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\enhanced-performance-system.js",351,349,478,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\enhanced-performance-system.js__vs__enhanced-performance-system.js.txt"
"error-handler.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\error-handler.js",341,383,774,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\error-handler.js__vs__error-handler.js.txt"
"floating-mascot.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\floating-mascot.js",460,26,584,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\floating-mascot.js__vs__floating-mascot.js.txt"
"input-validator.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\input-validator.js",415,423,758,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\input-validator.js__vs__input-validator.js.txt"
"layer-analysis-module.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\layer-analysis-module.js",335,345,27,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\layer-analysis-module.js__vs__layer-analysis-module.js.txt"
"legacy-chat-disabler.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\legacy-chat-disabler.js",186,185,310,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\legacy-chat-disabler.js__vs__legacy-chat-disabler.js.txt"
"local-file-storage-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\local-file-storage-manager.js",504,582,171,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\local-file-storage-manager.js__vs__local-file-storage-manager.js.txt"
"main.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\main.js",206,2778,3129,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\main.js__vs__main.js.txt"
"mascot-controller.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\init\mascot-controller.js",233,49,323,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\mascot-controller.js__vs__mascot-controller.js.txt"
"mascot-float.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\mascot-float.js",83,83,20,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\mascot-float.js__vs__mascot-float.js.txt"
"mascot.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\mascot.js",323,381,139,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\mascot.js__vs__mascot.js.txt"
"memory-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\memory-manager.js",378,389,667,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\memory-manager.js__vs__memory-manager.js.txt"
