Backup,Src,BackupLines,SrcLines,LineDifferences,DiffFile
"01_Modules\advanced-module-initializer.js","src\js\core\advanced-module-initializer.js",292,334,359,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\advanced-module-initializer.js\+\__vs__\+\advanced-module-initializer.js\+\.txt"
"01_Modules\enhanced-main.js","src\js\core\enhanced-main.js",34,34,53,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\enhanced-main.js\+\__vs__\+\enhanced-main.js\+\.txt"
"01_Modules\main.js","src\js\core\main.js",206,2778,3129,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\main.js\+\__vs__\+\main.js\+\.txt"
"01_Modules\module-monitor.js","src\js\core\module-monitor.js",175,181,23,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\module-monitor.js\+\__vs__\+\module-monitor.js\+\.txt"
"01_Modules\memory-manager.js","src\js\core\memory-manager.js",378,389,667,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\memory-manager.js\+\__vs__\+\memory-manager.js\+\.txt"
"01_Modules\secureAPIStorage.js","src\storage\secureAPIStorage.js",345,221,630,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\secureAPIStorage.js\+\__vs__\+\secureAPIStorage.js\+\.txt"
"01_Modules\storage.js","src\js\storage.js",328,36,417,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\storage.js\+\__vs__\+\storage.js\+\.txt"
"01_Modules\storage-integration.js","src\js\storage-integration.js",487,511,1111,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\storage-integration.js\+\__vs__\+\storage-integration.js\+\.txt"
"01_Modules\local-file-storage-manager.js","src\js\core\local-file-storage-manager.js",504,582,171,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\local-file-storage-manager.js\+\__vs__\+\local-file-storage-manager.js\+\.txt"
"01_Modules\ai-module.js","src\js\ai\ai-module.js",1438,932,2642,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\ai-module.js\+\__vs__\+\ai-module.js\+\.txt"
"01_Modules\ai-module.js","src\js\ai-module.js",1438,0,2642,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\ai-module.js\+\__vs__\+\ai-module.js\+\.txt"
"01_Modules\ai-providers.js","src\js\ai\ai-providers.js",275,287,24,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\ai-providers.js\+\__vs__\+\ai-providers.js\+\.txt"
"01_Modules\chat-memory.js","src\js\ai\chat-memory.js",323,344,55,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs\chat-memory.js\+\__vs__\+\chat-memory.js\+\.txt"
